same,diff
17.771484,25.4448
16.112514,24.992334
17.175657,27.381052
18.103613,26.912045
14.571288,24.306534
20.959675,27.058624
17.496878,25.227602
17.63919,26.936598
16.373846,25.30925
13.417075,25.78126
20.686003,26.40567
15.380103,27.97168
20.33162,30.329382
18.15759,26.586899
16.765999,25.149832
22.705286,27.840805
20.016953,27.633097
16.330435,25.997456
18.22622,27.333956
20.695986,26.051271
16.794594,25.902775
20.730232,27.55989
20.485384,29.34254
20.5792,26.620638
21.336414,28.575808
22.761688,27.947615
18.048523,28.473248
12.635112,23.054665
12.210149,26.967829
18.069221,24.013063
22.79807,25.51475
19.971205,27.06837
19.757221,28.356627
21.708868,27.088184
16.349205,27.423807
13.219392,27.383648
28.31494,26.163664
11.565113,27.355389
18.908867,25.455904
16.748852,26.490274
17.86021,26.190332
17.115053,25.642586
22.337387,27.464586
14.170626,26.497421
12.370167,27.912579
11.483037,24.530348
16.168943,26.542793
14.267167,26.928024
14.102511,26.480988
19.298954,25.555195
20.28458,26.77819
16.14388,27.676067
17.512499,27.813904
21.951864,29.193287
18.322718,25.531004
16.613688,26.264153
10.315654,25.782356
18.671362,26.719715
20.368834,28.330904
15.059031,24.271568
14.129117,28.09111
18.206797,26.873426
18.39128,26.114685
16.662415,24.886223
14.935977,27.100273
15.322751,26.7497
13.677104,28.998579
19.965408,25.518541
23.376472,28.729544
14.796369,23.82561
23.508879,26.243061
19.731224,27.606764
16.637598,25.713428
32.988472,28.825817
16.18698,25.911804
14.318029,25.133036
18.336164,26.277487
18.882792,26.463303
9.640001,26.01985
15.220236,27.528646
12.924704,28.641462
13.838198,25.888355
17.69705,26.11043
20.256351,28.433752
15.555576,26.108145
18.899158,25.254082
12.69885,25.452345
19.763474,25.445913
15.8069725,27.51856
16.551878,27.313803
18.364769,27.167618
13.564416,26.882906
18.16576,26.106255
17.050272,25.686676
22.29856,29.430445
17.869234,25.319492
17.222643,22.98441
26.472622,26.834368
17.138233,27.216967
20.237133,28.43339
12.759978,26.600197
20.117178,26.047941
14.246352,27.11809
13.845927,25.647219
22.70586,25.06708
17.954891,27.810993
33.722275,26.600332
15.776251,26.522621
20.53335,27.677538
22.580654,26.101906
29.84231,16.030817
12.049978,26.71668
16.377062,25.606861
14.464388,27.05287
17.22376,25.993006
15.372229,25.929129
22.868065,25.740175
15.0265665,25.358446
13.290339,25.47272
18.584002,25.317043
17.68643,24.327904
14.29662,26.68987
19.048838,28.075464
14.114834,25.068106
17.92956,25.963749
15.627939,28.814363
18.977772,28.202953
18.166576,24.876562
17.255177,26.4632
32.369274,26.956171
13.068159,27.094076
10.228973,26.276136
14.580877,26.305342
27.386572,26.519197
15.377761,25.872097
15.264543,27.368788
13.454368,24.587416
19.003283,27.444977
22.306707,26.303787
23.207071,25.197388
11.264578,23.610298
12.79309,27.887335
17.117258,25.949944
14.84263,24.246784
19.680864,28.513433
14.871652,25.921064
12.135437,25.831106
18.584782,26.091991
15.052329,26.056425
18.779797,29.404255
19.469917,26.901379
32.90189,28.193111
15.245956,27.326502
18.286507,30.111406
13.905071,25.002222
19.316648,27.381508
14.412142,25.513945
14.695214,24.817595
15.014156,25.720392
20.403648,26.189497
18.416605,26.209469
16.394743,27.525185
16.448776,26.462978
35.862198,29.177166
13.03283,25.31009
15.466958,23.697186
21.521555,25.211632
15.414571,26.258142
11.542632,26.343725
15.416681,25.886812
28.741697,25.073689
23.287004,25.71062
16.722183,24.729126
15.483144,26.993761
18.065495,27.01411
18.380972,27.861847
14.816321,24.349924
18.044188,27.950432
19.854244,27.12744
19.64508,28.411606
13.426307,23.702885
16.9043,26.128902
19.744305,27.749216
19.023603,25.503069
31.259716,26.829882
20.271055,26.344925
16.137247,24.615318
17.968517,25.440538
24.208784,28.723118
15.403061,25.21049
15.417684,26.836042
13.781142,28.841818
17.583286,26.14691
16.402592,26.163025
18.8185,24.75412
14.195687,24.460499
16.183355,25.810223
14.772915,25.658234
30.68128,28.600918
17.849876,26.575628
21.852365,25.529789
18.320383,26.862131
19.886868,27.520588
20.503206,26.92529
17.002892,25.201828
11.391688,24.343088
18.183174,24.959698
18.696451,26.4247
19.05765,27.29149
14.608008,25.620605
31.287756,28.376152
19.212744,24.981037
14.367365,27.952597
30.177269,26.89176
21.278812,26.341608
18.960388,26.895575
18.65455,27.010317
18.237623,24.393013
19.667467,28.505142
15.874926,27.142128
18.796375,30.046206
13.754407,27.82815
17.732967,25.435167
17.15149,26.28734
13.286532,26.731024
21.980228,25.797821
29.64717,18.459534
24.302425,27.700644
15.726603,26.786718
18.829037,27.265059
16.01136,27.333464
31.589594,29.104355
16.67353,28.281687
16.502375,25.643896
24.531433,26.08582
18.765337,24.999426
18.266893,25.53161
22.116522,26.201212
13.102662,24.395643
18.679613,27.329746
20.467207,27.583723
14.805748,24.768358
15.4008255,23.40459
14.918851,25.81504
17.96789,24.656303
17.481125,27.092783
16.696482,25.683817
21.0691,28.80625
21.925983,28.959711
19.333588,25.548622
12.683415,26.579395
19.46956,25.924814
18.776329,25.783455
7.846279,4.4445443
