same,diff
86.08813,88.01995
94.59655,88.44925
106.39349,87.99594
107.60266,88.985916
110.00128,88.41204
137.37708,87.57864
96.13829,87.846756
105.31634,87.602585
112.13279,88.10775
106.615074,88.55655
110.888405,87.58748
113.55484,87.96534
110.07444,88.76899
107.465195,88.214516
112.16127,88.89858
116.65054,88.52858
111.729485,87.99949
104.395065,88.63673
101.91837,88.23995
94.64514,88.7295
107.06202,88.61026
96.97844,88.85366
108.72955,88.11403
109.6804,89.042496
102.04778,88.51077
122.10699,88.33744
106.62454,88.63248
107.98496,88.44231
112.5503,87.36954
109.093254,87.7235
107.92323,88.71415
106.28338,89.26682
116.58389,87.959175
106.907845,87.7869
107.20213,88.57976
88.951904,88.50658
102.149,87.8838
102.44575,87.99081
109.429924,88.6838
100.88705,88.97605
106.46627,86.22222
126.51366,87.97368
118.63164,88.91701
103.13644,88.77388
106.09554,88.791725
88.69378,84.542694
122.4635,87.51665
107.42933,89.10071
104.41214,87.117935
108.07879,88.51421
91.54723,87.78182
114.83539,89.07253
111.191475,87.83901
107.94703,89.00492
104.94361,88.52988
103.989784,88.27382
93.93891,88.21635
100.5449,88.51462
123.06861,87.52532
99.9778,86.41963
123.62598,87.99858
104.82338,88.37062
117.091255,88.823845
112.4075,87.7238
87.7284,86.134796
109.64,89.127655
99.77602,88.33358
115.657524,87.85784
114.13338,88.58819
113.0118,88.698586
115.918915,88.513054
110.65453,88.10919
114.63524,88.78277
105.27144,89.27775
118.71117,87.92823
100.92467,87.474396
98.57956,86.47988
115.265396,89.57372
115.58097,89.18104
110.77258,88.54604
109.56101,88.75231
101.49287,88.0811
95.71158,86.694855
113.04526,89.070114
105.95968,87.34353
107.362114,88.309364
100.8717,86.7764
99.00072,89.38625
97.19068,88.72738
123.20232,86.63384
111.11705,89.18328
104.134254,88.799416
114.98277,88.90081
118.326965,89.45313
109.38315,87.63564
108.25562,88.124146
97.3202,88.6682
117.64895,86.5906
124.98972,86.986855
121.22813,89.006294
103.3963,88.02398
96.71297,85.986145
113.16921,88.496666
92.23802,89.19944
118.93273,88.70985
104.54662,88.28793
91.25051,88.91247
102.07468,87.666435
